machine_id,date,week,month,month_name,year,assembly_line_no,total_records,failure_count,avg_spindle_speed,avg_torque,avg_vibration,avg_voltage,avg_cutting,availability,performance,quality,oee,oee_class,line_label
Makino-L1-Unit1-2013,2021-12-17,50,12,December,2021,Shopfloor-L1,2,2,27957.0,19.912322494999998,27.627,323.5,3.145,0.0,1.0,0.1599,0.0,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2021-12-24,51,12,December,2021,Shopfloor-L1,2,0,17956.0,23.055109885,24.493,361.0,2.42,1.0,0.6503,0.5212,0.3389,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2021-12-26,51,12,December,2021,Shopfloor-L1,1,0,20705.0,23.05732915,32.166,359.0,2.17,1.0,0.7498,0.3712,0.2783,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2021-12-27,52,12,December,2021,Shopfloor-L1,2,2,25522.5,23.895789785,30.0745,372.0,3.065,0.0,0.9243,0.1121,0.0,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2021-12-28,52,12,December,2021,Shopfloor-L1,2,1,20564.0,23.650897190000002,29.052500000000002,349.0,2.335,0.5,0.7447,0.282,0.105,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2021-12-30,52,12,December,2021,Shopfloor-L1,1,1,19784.0,16.96410507,26.314,423.0,2.75,0.0,0.7165,0.1856,0.0,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2021-12-31,52,12,December,2021,Shopfloor-L1,2,2,22874.0,19.129107870000002,25.883000000000003,351.5,3.13,0.0,0.8284,0.194,0.0,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2022-01-03,1,1,January,2022,Shopfloor-L1,1,1,19860.0,24.03836858,27.063,431.0,3.58,0.0,0.7192,0.1709,0.0,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2022-01-07,1,1,January,2022,Shopfloor-L1,1,1,27613.0,24.08323664,24.931,370.0,3.49,0.0,1.0,0.2126,0.0,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2022-01-08,1,1,January,2022,Shopfloor-L1,2,1,18849.0,23.488646255,26.611,338.0,2.795,0.5,0.6826,0.3298,0.1126,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2022-01-10,2,1,January,2022,Shopfloor-L1,2,1,16498.5,24.58794696,24.3305,333.5,2.41,0.5,0.5975,0.3744,0.1118,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2022-01-11,2,1,January,2022,Shopfloor-L1,1,1,26605.0,24.22253793,31.208,375.0,2.66,0.0,0.9635,0.0899,0.0,Poor (<40%),Shopfloor-L1
Makino-L1-Unit1-2013,2022-01-12,2,1,January,2022,Shopfloor-L1,1,1,19727.0,24.20043595,23.975,317.0,2.67,0.0,0.7144,0.2313,0.0,Poor (<40%),Shopfloor-L1
